Quiz5
N000000299,AB_DABDEADDABD_
N000000018,C__DABDEA_DABDA
N000000228,AB_DABDEC_C_BDA
N000000129,AADDDBD__DDABDA
N000000278,ABDCABDEAD_ABDA
N000000426,A__DA__EADD_BD_
N000000222,ABDDABDEADBABDA
N000000092,ADD_ABDEADDABDA
N000000404,A_D_D_DE_DDABDA
N000000265,_A_DABDEADDABDA
N000000085,ABDDABDEB_DBB__
N000000399,CB__ABD_AD_ABDA
N000000258,AB_DAB__ADD_B_A
N000000480,AB_DABDEADDA_DA
N000000177,ABDAAB_EADDABDA
N000000038,ABDDABDEADDABDA
N000000001,ABDD__DEADD_BD_
N000000016,ABDD_BDD__D_BD_
N000000474,_B_DAB_EADD__DA
N000000294,_BDDA_DE_DDABDA
N000000419,ABDCABDEA_D__D_
N000000476,__DC_B_EA___BDA
N000000188,ABDDA_BEA_DAA_A
N000000439,AADDAADCAA_ABDC
N000000161,___DABDE__D_BD_
N000000097,A_DDABDEADDABDA
N000000094,ABDDA_DEADDABDA
N000000179,ABCDA_DEADDA_DA
N000000364,ABD_AB_EADDA__A
N000000314,_BDDA_DEA_DA__A
N000000291,___DABD_ACDAB_A
N000000238,_BDD_D_E_DDA_DA
N000000475,BBDDB_DE_D_A_AA
N000000138,ABD_AB_AA_D_DDA
N000000225,ABDD_BDE__DABDA
N000000050,ABDDA_DE_DDABDA
N000000051,A_D_A_DEA_DDBDA
N000000013,__DDAB_EADDAC__
N000000253,ABDD_BDDABDACD_
N000000337,AB_DABDEAD_ABDA
N000000131,ABCDABDEABDABD_
N000000341,ABD_AB_EADDAB_A
N000000402,__DDABDE_DD_BDA
N000000306,ABDDA_DEA_DAB_A
N000000195,_BDD_BDEA__ABD_
N000000139,__B_A__EADDCBD_
N000000193,AB_D_BDD__DABDA
N000000102,_BDCABDBA_DABBA
N000000046,AB__ABDEADDCBD_
N000000071,ABDDA_DEADBA_DA
N000000072,BBDD_B_EA_DA_DA
N000000376,AADDABDEADDAB_A
N000000386,ABD_AB__BD_BB__
N000000215,ABDDA_D_AD_ABDA
N000000357,ABDDABCEADDA_DA
N000000213,ABABA_DEAD_AB__
N000000104,ABDDDBCE_D_A_D_
N000000203,ABDDABDBBDDABDA
N000000397,A_CDA__EADDA_D_
N000000232,ABADABDEAD_ABD_
N000000327,AD_DABD_A_DA_D_
N000000175,ABDD_BDEA_DABD_
N000000268,DBDD_BD___DABD_
N000000231,ABDDABD_AD_ABDA
N000000269,AB__A_DD_DDABD_
N000000010,ABDDA_DEADD___A
N000000076,A_DDA_DEADD_BDA
N000000390,ABDCA_D__DDABDA
N000000467,A_D_ABDEA__AB__
N000000105,ABDDAB_EADDD_DA
N000000348,_B_CABDEADDAB_A
N000000335,ABDDAB_EAD__ADA
N000000455,A_DDAB_EADDADDA
