Quiz4
N000000377,A_DABCD_BCBD_CCDAD_A
N000000295,_DDA_CD_BCDDDBA_ADCA
N000000146,CDD_BCDABCDD_BCD_DCA
N000000190,_C_ABBCAACDDABCD_DBA
N000000407,CDCABCDABCDD_BCD_DCB
N000000461,CD_ABCDA_CDDA_C_ADC_
N000000460,CDDA_C_ABCDDAB__ADCA
N000000090,CDD_B_D_BCDA_BCAADCA
N000000448,CDDABCDAB_DD_DCDA_CA
N000000005,CDDAB_DA_CDDA_CBAADA
N000000264,_D_ADCDABCDDA_C___BA
N000000469,CDDAB_D_CCDDA_CDAD__
N000000345,_D____DABC__BBD_AD_A
N000000386,__DA_CD____D_BADADCA
N000000092,C_DABCDA_CDDABCDADCA
N000000425,CD_ABC__BCDD_BCDCD_A
N000000181,CD_ABBD_B_D_AB_D_DCA
N000000317,_DAABCDAB_D_AB_DADAA
N000000365,CDDABCDAB___A_CD_DCA
N000000308,CDDA_CDABCDDABC____A
N000000288,_DDABCDABCDDABCDADC_
N000000410,CDDA_CDABCDDABC__DCA
N000000097,CDD_BCBABC__AB_DADCA
N000000242,CDDABC_ABCD_ACCD_DCA
N000000348,CD__BCDAB_D_ABC_AD_A
N000000304,_DDA_CD_BCDDAB_DADAA
N000000256,CDD__CD_BCDDABC_ADCA
N000000127,CD_AB_D_B_DDA_CDA_CA
N000000180,CDD_A_DAB_DDABCDA_CA
N000000027,CADABC_AB_D_ABCDADC_
N000000008,C_DADCDABC_DABCD_D_A
N000000168,BDDABC_AB_D_D_CDADCA
N000000449,_DDABDDA_CDDA__BADCD
N000000278,CADABCDA_CD_ABC_DB_A
N000000341,C_CABCDAB_DDAB_D_DCA
N000000385,CDD_BBDABB_DA_C_ADCA
N000000458,C_DAB_DABCDDA_CDCDCA
N000000171,_D_ABC_ABCDDABADA__A
N000000159,CDDA_CD_BCD__BCDADCA
N000000128,CDDABCD_BCDD_BC_ADCA
N000000465,CD__DCDADCDDABCD_DCA
N000000210,CBDABCDDBCDDAB_DADCB
N000000352,C__ABC__ACDDAB_DADCA
N000000071,CDDABCD_B___AB_DADCA
N000000277,CD_ABC_ACCDDABCD____
N000000032,D_DAB_DADCDDAB_DAD_A
N000000134,_D__BCDCBCDDABADA___
N000000182,_DDAACDACC_DABCD_DCA
N000000050,CDDAB_DABC_D_BC_ADC_
N000000380,CD__BCBAAC_D_BCDADCA
N000000244,CDD_BCD_BBDDAACDADCA
N000000447,CDCABA__BBDDAB_D_D_A
N000000165,CDD__CDAB_D_ABCDAD__
N000000435,CDDABCDABCDDAB_DADCA
