Quiz4
N000000070,CDDABCDABC_DABC_ADCA
N000000257,_DD_BCDAD_DDABCDAD_B
N000000346,CDDAB_DABCDD_B_DA_CA
N000000293,C__AB_DABCDDBBCDDD_A
N000000150,____BCDABCDD____DDCA
N000000026,CDDA_CDABCDDABADAAC_
N000000110,CC_AB_DA_CDDABDDAD_A
N000000408,_DD___D_BCB_A_CDDD_A
N000000431,__D_BCCABCD__BCD___A
N000000255,C__ABCD_B_DDBB_DADC_
N000000295,CDDABCDABA_AABC_ADCA
N000000424,CDDABCCABC__AB__ADCA
N000000254,C_DABC_A_CDA_BC___CA
N000000058,CD_ABCDABCDD__CDD_CA
N000000153,_D__BCDABCBDA_CDADCA
N000000244,CDDABCDA_CD_ABB_____
N000000139,C_DA_CDABC_DA_C_ADCA
N000000298,CDDC_CDABC_DABBDADC_
N000000191,CDDAB_DAACDD_B_DADAA
N000000376,C_CA_CBABCDDAB__AD_A
N000000273,_DDABC_AB_DDABCDAD_B
N000000131,_DDABC_AAC_DABCDADC_
N000000381,CDDC_CD_BCDDA_CCAD_A
N000000188,CD__BCDB_CDD_BCDADCA
N000000060,CDDABC_ABCDDAB_D_BCA
N000000085,CDDCBBD_B_DDAACD_DCA
N000000354,CDDABCDA_DDDABC_BD_A
N000000342,CDDABCD_B_DDA_CD_DCA
N000000461,C_BA_CDAB_DD_BCDDD_A
N000000384,CDD_BC_AB_DDAB_B_DCA
N000000222,CDAABC_AB__D_BCDBDC_
N000000362,CDD__CDACDDDABC_ADCA
N000000236,_DDABCDABCDD_BCDADCA
N000000490,CDDA_CDABCD__DCDACCA
N000000335,CD_ABCDA_CD_DCC_A_CD
N000000042,DDDABCDAB_DDABCDAD_A
N000000038,CDD_BCD_BCDDABCDA_CA
N000000247,CD_A__DA_C_D_B_DADCA
N000000360,_DDABC_A_CDD_CCDA_CA
N000000137,_DDABCBABBDDABCDADC_
N000000314,CDD_B___BCDDABCAADC_
N000000385,CDDAB_DABCDD___D_DCA
N000000189,CDDABADABC__ABCDADCA
N000000161,CDDA_C_ABCBD_BCDADCA
N000000190,CDDABCDABCDD_BC_DDCA
N000000487,C__AB_DABCBDABCDADC_
N000000203,_DDA_CDB_CD_A_CDB_CA
N000000454,_DDAB__ABCDDABCDA_CA
N000000048,CDD_BC_AB_D_ABC_ADCA
N000000272,_DDABCDCBCDDAB_DADCA
N000000044,CDD_BC_ABAC_AB__A_BA
N000000098,C_DAB_DABCDDABC_A_CA
N000000420,CD__BBDABCDDABCD_DC_
N000000166,AADABCD_BC_D_BC__DCA
N000000356,C_DACC_ABCDDA_D_A__A
N000000368,CDDABCD_BC_DABCD_DCA
N000000100,C_DAB_B_B_DD_BCDACCA
N000000463,CDDAB_DA_CDDABCD_DCA
N000000037,CDD____AB_D_A__DAD_A
N000000281,_DDA_C_ABCD_ABCDADCA
N000000367,CD_ABCDABCDDABBDADCA
N000000365,CD_AB_D_BCDDABCDA___
N000000081,CDDAB_DA_CDDA_CD_DCA
N000000130,C___BC_A_CDDABDDAD_A
N000000304,CDDABCDABCBDABCDA_CA
N000000206,_DD_D_DABCDD__CD__CA
N000000379,____B_D__CDDABCD_DCA
N000000329,B_D_BCAA_C_DABCDADC_
N000000192,CD__BCD_BCD_ABCD_DCA
N000000049,C_DA_CDA_CD____DADC_
N000000417,_C__BCDABCD_ABC_A_BA
N000000330,C_D__CAD_CDDABCA_BCA
N000000083,C___B_DABC_D_BBDADC_
N000000134,CDDABC_BB_D_ABCCADC_
N000000171,_D__B_DABC_D_BC_ADCA
N000000180,C_DABCDABCDD__CDADCA
N000000108,_DDA_C__B_D__BCDA_CA
N000000170,CDDABCA_DCD_ABCDADC_
N000000123,CDD_B_DAB_DDABCCAD_A
N000000005,CDDABCD_B__DA_C_A_C_
N000000482,CBDABCD_BCDDABCDADCA
N000000485,_D_ABAAABBDDABCDA_CA
N000000445,CD_A__C_B__B_BCDADC_
N000000456,CDDABCD__CD_ABCDABCA
N000000388,CDDABC_ABC__A__DADCA
N000000326,C_DABC_ABC_DABC_ADC_
N000000094,_DDABC_A_CCDABCDADC_
N000000406,CDDAB_BABCD_CBCDADCA
N000000014,CADDBCDA_C_DABCD___A
N000000177,DDDDBC__BC_DABCDADCA
N000000089,CDDABCDAB_D_ABABADCA
