Quiz5
N000000395,BBDDABDEADDABD_
N000000336,ABDDABDE__CABD_
N000000372,ABDDABDEADD_B_A
N000000011,AB_DADDEADDABDA
N000000324,ABDDA_DE_DDABDA
N000000476,ABD_AB_EADDABCA
N000000330,ABD_BBDEABDAB_A
N000000290,A_DDAB_E_DCABAA
N000000362,A__D_B__ADDABDA
N000000421,CBD_ABDEADDABDD
N000000131,_B_DABDEADD_BDA
N000000049,_BD__B____AABDA
N000000004,CBDD_B__ABDBBDA
N000000170,ABDDAA_A__DABDA
N000000300,ABDDABDEAD__B_A
N000000439,ABDDABDEA__ABDA
N000000243,A_CDCBDEADDABDA
N000000393,ABDDABDEA__ABDA
N000000110,___DCBBBADCC_DA
N000000079,ABDD_BD_DD_ABDA
N000000168,ACDD__DE__DA__A
N000000120,__DDAB_EADDA_DA
N000000246,__DDABDEA__ABDA
N000000160,AB_BABD_ADDA_DA
N000000347,___DAB__ADDA_DA
N000000321,A_D__BDEA__ABDA
N000000396,A_D_A__DABDABDA
N000000280,BB_D_B_EADDABDA
N000000123,AB_DA_A_A_D__DA
N000000000,ABDDABDEA_D__DA
N000000208,A_DDAADDAD_CBDA
N000000026,ABDAABDCD_DABDA
N000000140,ABDDAB_EADDA_DA
N000000265,ABDA_B_EADDADDA
N000000162,_BDDAB_CADD__DB
N000000255,ABD_ABDEADD_B_A
N000000084,AB__AD_EADDABDB
N000000277,_BDDABD_ADDABDA
N000000204,A__DABDEADDDCDC
N000000420,ABDDA_DEA_DA_DA
N000000038,_BDDABD_A_DABDA
N000000033,AB_CAB_E_DD_BD_
N000000090,AAD____EADDABDA
N000000183,ABD__BDEADDABD_
N000000082,ABDDBD_EADDABDA
N000000448,DBDD_B_E_DDAB__
N000000015,_BDD__DEADDABDA
N000000251,ABDDAB_E_DDA__A
