Quiz5
N000000252,_B__ABDEAD___D_
N000000476,ABDDABDE_DDABDA
N000000367,ABD_AB__ADD_BD_
N000000055,_BDDABD__DDABDA
N000000416,A_DDA_DEADDABDA
N000000396,ABADABDE__DABDA
N000000089,ABDDD_D_AD_ABDA
N000000273,ABDDA_DEADD__DA
N000000269,_BDDABACADDDBDA
N000000078,ABD_ABDE_DD_BDA
N000000090,_BDD_BDECDDAAD_
N000000291,ABDDABDEAD_ABD_
N000000217,A_DDABDE_DD_BDA
N000000435,A__D_BDEBD__BDA
N000000346,ABD_A_BEADDAB_A
N000000002,AC__ABD_ADD_B_A
N000000288,ABDD_B_EA__AB_A
