Quiz5
N000000341,A__DABDE_D_ABDA
N000000315,__DD_BDEADD__DA
N000000071,ACDDAB_EADC_BDB
N000000368,ABDDAB_EADDA_DA
N000000411,A__D_BDEA__AB_A
N000000045,AC__A__EADDABDA
N000000316,__D_ABD_ACDA_DA
N000000111,ABDD_BDEA_DABCB
N000000135,ABDDAB_EADD_BDA
N000000025,ABDDABDE_DDA_DA
N000000402,C_DDAB__ADDABDA
N000000445,AA_DABDCADDABDA
N000000410,ABDDABAAAA_ABDA
N000000441,A_DDCBD__DDAB__
N000000273,ABADADDEA__ABDA
N000000153,_B__ABDEDDDA_BA
N000000086,AB_D_CDEA_AAAD_
N000000250,AB_DABD___DA_D_
N000000454,A_DDBADE_DDA_DA
N000000009,ADD_A_DEAD_ABDA
N000000356,DBDDABDEADDAB_A
N000000377,ABDD__D_A_DABDA
N000000106,__DDACDA_D_ABD_
N000000293,A__D__DEADDBBAA
N000000297,ABD_A_DEADDABDA
N000000472,AB_D_B__A_DADD_
N000000237,__D_A_DEADDABDA
N000000033,ABDD_BBAADDBBDA
N000000313,ABDDA_DEADDABD_
N000000158,A_DDABDECDB_BDA
N000000013,A_DDABDEAD_____
N000000169,AB__A__EAD__C__
N000000206,_BDDABDBADDA_DA
N000000468,__D__B_E_D_AAD_
N000000161,A_DDABD_AD_ABA_
